ID,Date,Description,Amount
1,15/5/31,Test21,59.99
2,15/6/16,Test92,936.00
3,15/3/14,Test58,35.00
4,15/7/28,Test87,-727.00
5,15/6/9,Test51,108.00
6,15/9/5,Test23,637.00
7,15/2/2,Test26,-700.99
8,15/10/30,Test61,837.00
9,15/9/8,Test68,-306.00
10,15/11/1,Test30,-554.99
11,15/8/4,Test12,990.00
12,15/11/3,Test63,-21.00
13,15/3/13,Test5,322.99
14,15/9/6,Test60,100.00
15,15/10/1,Test8,-157.99
16,15/4/5,Test37,-429.00
17,15/2/3,Test68,-460.00
18,15/3/1,Test67,-518.00
19,15/9/27,Test49,-762.00
20,15/2/18,Test49,-108.99
21,15/2/17,Test93,-879.00
22,15/9/16,Test63,11.00
23,15/6/9,Test85,-92.00
24,15/12/9,Test89,-117.00
25,15/8/8,Test8,737.99
26,15/10/28,Test80,-816.00
27,15/2/12,Test70,-724.99
28,15/12/4,Test44,679.99
29,15/1/11,Test70,-939.99
30,15/11/24,Test98,-510.00
31,15/7/6,Test55,-31.00
32,15/8/23,Test80,-325.00
33,15/9/28,Test56,999.99
34,15/11/4,Test28,-805.00
35,15/5/24,Test23,912.00
36,15/8/3,Test39,183.00
37,15/3/24,Test54,770.00
38,15/9/24,Test12,-842.00
39,15/8/31,Test89,-140.00
40,15/9/10,Test86,207.00
41,15/3/25,Test37,-928.00
42,15/3/9,Test85,690.00
43,15/12/7,Test5,445.00
44,15/11/12,Test97,-24.00
45,15/9/30,Test64,517.00
46,15/12/1,Test100,141.99
47,15/4/16,Test74,516.00
48,15/5/1,Test21,973.00
49,15/4/23,Test15,-31.99
50,15/7/31,Test38,-884.00
51,15/9/23,Test20,-266.00
52,15/2/13,Test97,-347.00
53,15/3/25,Test10,-675.00
54,15/4/27,Test47,-66.00
55,15/2/24,Test49,10.99
56,15/11/28,Test25,-78.00
57,15/8/7,Test31,890.00
58,15/9/2,Test63,-568.00
59,15/6/12,Test99,845.00
60,15/1/24,Test47,723.00
61,15/3/23,Test37,218.00
62,15/4/4,Test100,-518.00
63,15/8/25,Test48,-873.00
64,15/5/5,Test56,927.00
65,15/9/30,Test62,646.00
66,15/9/10,Test90,805.00
67,15/12/17,Test15,492.00
68,15/12/12,Test43,-384.99
69,15/9/20,Test40,-741.00
70,15/9/24,Test44,693.99
71,15/3/26,Test53,-70.00
72,15/9/4,Test28,-479.00
73,15/2/27,Test80,448.00
74,15/6/17,Test44,-321.00
75,15/12/16,Test42,-64.00
76,15/10/23,Test79,987.00
77,15/3/20,Test67,904.00
78,15/2/19,Test63,475.00
79,15/6/29,Test32,363.00
80,15/5/19,Test53,165.00
81,15/2/13,Test37,243.00
82,15/1/5,Test60,233.99
83,15/7/3,Test26,-366.00
84,15/1/3,Test55,-578.00
85,15/2/9,Test80,-445.00
86,15/10/22,Test4,-462.00
87,15/7/31,Test10,-873.00
88,15/4/17,Test81,925.99
89,15/8/31,Test70,-520.00
90,15/8/5,Test95,831.00
91,15/6/26,Test38,-679.00
92,15/12/8,Test23,-643.00
93,15/9/29,Test66,-616.00
94,15/7/22,Test2,-605.00
95,15/12/4,Test34,278.00
96,15/10/16,Test60,809.99
97,15/5/6,Test43,-186.00
98,15/2/24,Test46,-146.00
99,15/5/12,Test10,-204.00
100,15/11/21,Test29,528.00
101,15/8/8,Test87,406.00
102,15/7/1,Test65,138.00
103,15/9/3,Test37,759.00
104,15/2/16,Test25,-261.00
105,15/9/31,Test50,-966.00
106,15/3/2,Test63,897.00
107,15/3/28,Test47,661.00
108,15/6/12,Test96,128.00
109,15/5/1,Test51,144.00
110,15/2/15,Test45,347.00
111,15/4/11,Test18,611.00
112,15/9/3,Test57,-945.00
113,15/2/11,Test91,-53.00
114,15/5/2,Test79,425.00
115,15/7/13,Test27,970.00
116,15/2/8,Test37,676.00
117,15/11/8,Test16,-595.99
118,15/7/24,Test54,-516.99
119,15/10/16,Test9,-144.00
120,15/3/20,Test70,-995.99
121,15/8/31,Test66,813.00
122,15/11/2,Test75,-207.00
123,15/1/3,Test40,245.00
124,15/10/22,Test20,-157.00
125,15/10/6,Test24,428.00
126,15/5/1,Test38,-731.00
127,15/6/20,Test25,68.00
128,15/12/3,Test87,-685.00
129,15/11/20,Test2,598.00
130,15/7/10,Test14,236.99
131,15/5/14,Test78,-671.00
132,15/11/8,Test25,872.00
133,15/3/15,Test54,848.00
134,15/1/26,Test64,337.00
135,15/12/6,Test34,-569.00
136,15/4/20,Test93,-946.00
137,15/10/23,Test78,-670.00
138,15/2/18,Test6,-951.00
139,15/6/12,Test80,290.00
140,15/1/12,Test78,143.00
141,15/9/19,Test72,124.99
142,15/4/14,Test8,364.00
143,15/11/20,Test38,157.00
144,15/12/6,Test44,-137.00
145,15/1/16,Test32,854.00
146,15/2/17,Test66,-884.00
147,15/5/17,Test24,393.00
148,15/3/21,Test92,-178.00
149,15/10/22,Test53,-61.99
150,15/5/16,Test73,344.00
151,15/4/18,Test55,410.00
152,15/3/22,Test17,175.00
153,15/1/9,Test57,-276.00
154,15/10/5,Test17,-819.00
155,15/9/23,Test61,235.99
156,15/5/9,Test4,-955.99
157,15/4/17,Test71,-664.00
158,15/11/14,Test83,-141.00
159,15/7/10,Test3,880.00
160,15/6/7,Test14,-352.00
161,15/3/13,Test62,-465.00
162,15/10/10,Test41,-397.00
163,15/12/11,Test18,-59.99
164,15/8/16,Test4,-161.00
165,15/5/13,Test72,243.00
166,15/3/19,Test62,844.99
167,15/12/4,Test9,-595.00
168,15/3/31,Test40,-107.00
169,15/4/17,Test20,-930.00
170,15/7/7,Test37,-875.00
171,15/6/13,Test29,-48.00
172,15/4/20,Test87,-38.00
173,15/1/15,Test46,113.00
174,15/8/12,Test79,-861.99
175,15/7/28,Test65,-215.00
176,15/11/28,Test73,76.00
177,15/10/28,Test35,-884.00
178,15/1/23,Test28,454.00
179,15/3/16,Test35,-272.00
180,15/11/8,Test16,419.00
181,15/12/1,Test100,-173.00
182,15/3/17,Test42,356.00
183,15/8/1,Test54,-602.00
184,15/5/22,Test36,222.00
185,15/1/6,Test58,249.00
186,15/1/13,Test12,1.00
187,15/3/7,Test67,629.00
188,15/5/5,Test57,-974.00
189,15/11/27,Test63,457.00
190,15/4/13,Test41,97.00
191,15/8/22,Test25,541.00
192,15/8/13,Test95,-558.99
193,15/5/7,Test42,-144.00
194,15/5/27,Test60,-46.99
195,15/11/19,Test55,737.00
196,15/4/20,Test31,365.00
197,15/5/11,Test59,-286.00
198,15/6/6,Test75,-877.99
199,15/6/23,Test64,-988.00
200,15/7/28,Test51,31.00
201,15/3/7,Test78,-952.99
202,15/11/22,Test75,-215.00
203,15/5/7,Test27,-522.00
204,15/11/20,Test1,-872.00
205,15/11/20,Test61,3.99
206,15/6/13,Test89,-6.99
207,15/10/1,Test87,693.00
208,15/9/3,Test75,424.00
209,15/10/7,Test91,25.00
210,15/11/29,Test26,624.99
211,15/3/10,Test30,771.00
212,15/11/2,Test55,94.00
213,15/4/28,Test26,335.00
214,15/9/14,Test20,196.00
215,15/1/19,Test78,-409.00
216,15/11/14,Test22,-426.99
217,15/1/16,Test46,-880.00
218,15/3/21,Test62,677.00
219,15/5/9,Test92,-134.99
220,15/11/31,Test61,-20.99
221,15/8/2,Test85,19.99
222,15/9/9,Test37,224.00
223,15/5/6,Test22,343.99
224,15/2/19,Test63,-144.00
225,15/3/10,Test80,-169.00
226,15/12/14,Test37,-770.00
227,15/8/9,Test56,-144.00
228,15/2/25,Test72,663.00
229,15/2/5,Test40,-700.00
230,15/3/11,Test69,316.99
231,15/3/25,Test95,369.00
232,15/7/9,Test15,-307.00
233,15/5/31,Test96,871.00
234,15/6/15,Test20,-625.00
235,15/12/12,Test60,-971.00
236,15/10/13,Test30,128.00
237,15/10/27,Test58,96.00
238,15/3/12,Test36,370.00
239,15/9/27,Test42,340.00
240,15/8/21,Test18,581.00
241,15/12/16,Test68,928.00
242,15/9/20,Test23,967.00
243,15/9/22,Test39,332.00
244,15/1/14,Test74,-965.00
245,15/11/29,Test9,-230.00
246,15/6/27,Test90,578.99
247,15/10/30,Test92,401.99
248,15/9/31,Test89,22.00
249,15/10/11,Test4,242.99
250,15/12/18,Test40,125.00
251,15/4/21,Test69,-48.99
252,15/9/19,Test48,859.00
253,15/5/22,Test18,171.99
254,15/8/20,Test96,-90.00
255,15/3/12,Test19,-18.00
256,15/2/30,Test89,388.00
257,15/2/25,Test27,169.00
258,15/5/21,Test46,831.00
259,15/2/2,Test65,953.00
260,15/4/27,Test53,-179.00
261,15/8/16,Test9,767.00
262,15/6/7,Test29,-93.00
263,15/12/19,Test48,677.00
264,15/7/25,Test2,191.00
265,15/1/29,Test9,295.00
266,15/1/28,Test90,-119.99
267,15/5/8,Test68,17.99
268,15/9/21,Test19,485.00
269,15/4/6,Test29,705.00
270,15/4/25,Test63,526.99
271,15/11/16,Test12,-794.00
272,15/6/16,Test38,371.00
273,15/3/18,Test40,-416.00
274,15/3/23,Test24,229.00
275,15/9/23,Test43,-181.00
276,15/4/1,Test56,-339.00
277,15/1/9,Test92,913.00
278,15/7/4,Test25,104.99
279,15/2/18,Test12,785.99
280,15/3/15,Test86,-840.00
281,15/8/13,Test11,-856.00
282,15/4/15,Test36,571.00
283,15/8/1,Test28,592.99
284,15/4/26,Test82,-326.00
285,15/1/29,Test85,419.00
286,15/4/15,Test41,474.00
287,15/11/15,Test33,-668.00
288,15/12/14,Test53,-985.00
289,15/11/9,Test27,-124.00
290,15/4/21,Test77,-93.99
291,15/10/17,Test73,-496.99
292,15/8/24,Test81,-875.00
293,15/3/8,Test48,-209.00
294,15/4/24,Test93,-877.00
295,15/12/28,Test94,503.00
296,15/3/11,Test54,500.00
297,15/4/22,Test1,-368.99
298,15/12/29,Test8,-776.00
299,15/12/19,Test86,19.00
300,15/1/14,Test16,369.00
301,15/12/6,Test51,515.00
302,15/7/28,Test96,-291.00
303,15/2/30,Test33,221.99
304,15/3/29,Test17,597.00
305,15/3/23,Test86,-447.00
306,15/2/12,Test51,357.00
307,15/12/12,Test46,-373.00
308,15/10/12,Test19,-143.00
309,15/7/7,Test50,-774.00
310,15/1/31,Test1,-816.00
311,15/3/24,Test61,-142.00
312,15/1/9,Test39,-951.00
313,15/11/1,Test53,-700.99
314,15/7/24,Test16,410.00
315,15/10/26,Test1,-204.00
316,15/1/7,Test42,574.00
317,15/5/26,Test33,671.00
318,15/10/17,Test66,367.00
319,15/7/21,Test10,-837.00
320,15/5/7,Test65,-963.00
321,15/4/5,Test40,-262.00
322,15/10/28,Test69,935.00
323,15/1/24,Test95,-799.00
324,15/5/28,Test34,565.00
325,15/2/12,Test21,207.99
326,15/10/6,Test10,816.00
327,15/8/15,Test38,-234.99
328,15/10/9,Test12,-301.00
329,15/6/22,Test47,976.00
330,15/8/19,Test89,-75.00
331,15/10/9,Test30,246.00
332,15/2/29,Test66,-516.00
333,15/9/8,Test46,-877.00
334,15/12/17,Test66,-406.00
335,15/3/3,Test76,155.00
336,15/7/14,Test42,-892.99
337,15/5/26,Test69,990.00
338,15/1/24,Test38,-519.00
339,15/5/22,Test67,-131.00
340,15/4/11,Test17,-292.00
341,15/6/16,Test80,968.99
342,15/2/28,Test53,859.00
343,15/12/10,Test77,-469.00
344,15/8/13,Test52,-321.00
345,15/4/31,Test68,-322.99
346,15/12/23,Test62,-291.00
347,15/8/6,Test64,977.00
348,15/1/21,Test46,-167.99
349,15/8/8,Test70,721.00
350,15/10/11,Test20,-639.99
351,15/5/22,Test13,927.00
352,15/6/20,Test21,691.00
353,15/2/7,Test24,885.00
354,15/4/18,Test58,708.00
355,15/5/30,Test16,-863.00
356,15/2/18,Test65,-830.00
357,15/12/26,Test75,-818.99
358,15/11/16,Test83,-492.00
359,15/5/31,Test89,547.00
360,15/9/26,Test55,592.00
361,15/8/11,Test37,328.00
362,15/3/16,Test20,495.00
363,15/9/29,Test22,805.00
364,15/2/18,Test12,38.99
365,15/4/7,Test62,-803.99
366,15/2/28,Test49,651.00
367,15/11/26,Test16,607.00
368,15/12/12,Test87,-678.00
369,15/1/19,Test97,78.00
370,15/8/30,Test77,288.00
371,15/7/18,Test48,-914.00
372,15/11/26,Test17,-837.99
373,15/3/2,Test50,170.99
374,15/4/28,Test47,266.00
