ID,Date,Description,Amount
1,15/7/11,Test19,250.00
2,15/8/31,Test84,-751.00
3,15/9/26,Test43,250.00
4,15/9/17,Test51,-215.99
5,15/12/17,Test3,-74.00
6,15/7/3,Test3,825.00
7,15/10/2,Test1,-621.00
8,15/12/19,Test24,-554.00
9,15/5/4,Test47,-887.00
10,15/11/10,Test81,66.00
11,15/11/13,Test42,672.00
12,15/5/5,Test17,-848.00
13,15/6/21,Test69,888.99
14,15/8/12,Test85,396.00
15,15/11/9,Test93,-523.00
16,15/7/20,Test83,-623.00
17,15/8/12,Test76,-804.00
18,15/8/31,Test83,660.00
19,15/8/10,Test1,-176.00
20,15/5/10,Test95,-54.99
21,15/7/13,Test63,-394.00
22,15/9/10,Test89,-23.00
23,15/2/14,Test54,-342.00
24,15/10/14,Test42,365.00
25,15/11/27,Test81,-253.00
26,15/12/16,Test29,63.00
27,15/10/26,Test40,-740.99
28,15/11/13,Test93,273.00
29,15/7/3,Test34,-594.00
30,15/11/31,Test21,-170.00
31,15/6/1,Test3,698.99
32,15/9/22,Test91,-555.00
33,15/7/24,Test8,173.00
34,15/9/23,Test58,580.00
35,15/1/29,Test26,-347.00
36,15/6/10,Test58,237.00
37,15/3/6,Test30,598.99
38,15/11/6,Test89,767.00
39,15/8/2,Test41,178.00
40,15/9/12,Test28,-121.00
41,15/6/11,Test80,706.99
42,15/4/27,Test98,-758.99
43,15/8/10,Test88,-442.00
44,15/6/18,Test85,537.00
45,15/3/23,Test44,-815.00
46,15/2/24,Test88,594.00
47,15/9/17,Test53,-712.00
48,15/11/8,Test92,-377.00
49,15/12/12,Test43,-89.00
50,15/10/4,Test11,897.00
51,15/3/23,Test83,-555.00
52,15/4/22,Test69,547.00
53,15/7/23,Test10,382.99
54,15/10/3,Test46,-684.00
55,15/9/21,Test9,779.00
56,15/2/8,Test10,-970.99
57,15/4/30,Test67,-618.00
58,15/3/31,Test54,-795.00
59,15/4/9,Test25,684.00
60,15/11/10,Test90,929.99
