ID,Date,Description,Amount
1,15/11/22,Test76,293.00
2,15/7/7,Test33,891.99
3,15/1/20,Test38,-167.00
4,15/6/1,Test82,846.00
5,15/12/1,Test21,-643.00
6,15/4/3,Test65,644.99
7,15/2/27,Test35,705.00
8,15/11/3,Test69,740.99
9,15/7/18,Test82,255.99
10,15/3/1,Test19,-948.00
11,15/3/14,Test38,988.00
12,15/5/3,Test79,-982.99
13,15/4/15,Test27,-190.99
14,15/11/1,Test29,-712.00
15,15/8/11,Test21,-715.00
16,15/2/16,Test83,996.00
17,15/10/19,Test16,90.00
18,15/7/20,Test58,201.00
19,15/5/6,Test86,963.00
20,15/12/6,Test24,458.00
21,15/8/16,Test63,-151.00
22,15/9/13,Test92,267.00
23,15/7/21,Test28,784.00
24,15/6/22,Test83,-706.99
25,15/2/25,Test68,-313.00
26,15/3/30,Test56,-351.99
27,15/7/31,Test29,-975.00
28,15/8/27,Test64,-799.00
29,15/5/29,Test85,-500.00
30,15/12/7,Test12,-840.00
31,15/2/31,Test4,-174.00
32,15/8/8,Test96,-961.00
33,15/3/2,Test99,-336.99
34,15/12/6,Test29,103.99
35,15/8/14,Test100,379.00
36,15/10/13,Test69,494.00
37,15/9/5,Test2,-630.99
38,15/11/14,Test68,-707.00
39,15/7/21,Test58,-525.00
40,15/2/6,Test73,-886.00
41,15/5/16,Test17,767.00
42,15/4/16,Test59,-621.99
43,15/7/4,Test53,725.00
44,15/9/21,Test45,794.99
45,15/10/24,Test16,491.99
46,15/5/16,Test87,-915.99
47,15/12/27,Test45,270.00
48,15/9/2,Test84,325.99
49,15/8/27,Test98,-317.00
50,15/5/25,Test51,468.00
51,15/6/17,Test37,564.99
52,15/4/9,Test75,379.00
53,15/6/18,Test91,511.00
54,15/6/14,Test76,711.00
55,15/6/7,Test37,745.00
56,15/2/11,Test41,-852.00
57,15/2/25,Test98,-204.99
58,15/6/3,Test70,-905.00
59,15/12/8,Test23,-933.00
60,15/7/14,Test39,316.00
61,15/7/24,Test23,-505.00
62,15/3/5,Test77,172.00
63,15/7/22,Test24,-89.00
64,15/2/12,Test87,321.00
65,15/6/22,Test15,970.99
66,15/2/26,Test93,-272.00
67,15/5/22,Test86,-214.00
68,15/5/18,Test67,-759.00
69,15/9/5,Test29,272.00
70,15/6/13,Test30,505.99
71,15/10/8,Test69,-295.00
72,15/7/1,Test6,-541.00
73,15/11/15,Test90,-934.99
74,15/4/6,Test47,644.99
75,15/3/8,Test92,376.00
76,15/9/22,Test16,-799.00
77,15/5/25,Test87,-646.00
78,15/8/20,Test37,494.00
79,15/12/8,Test87,-346.00
80,15/2/10,Test75,-784.00
81,15/8/10,Test85,238.00
82,15/5/5,Test65,-855.00
83,15/8/28,Test88,-92.99
84,15/4/11,Test70,766.00
