ID,Date,Description,Amount
1,15/10/21,Test67,-996.00
2,15/3/20,Test11,-771.00
3,15/9/29,Test5,-315.00
4,15/11/6,Test71,570.00
5,15/6/29,Test46,-502.99
6,15/8/17,Test80,-583.99
7,15/9/11,Test54,-362.00
8,15/1/8,Test17,-374.00
9,15/9/3,Test87,260.00
10,15/11/2,Test4,-677.00
11,15/5/14,Test44,-817.00
12,15/4/11,Test67,-726.00
13,15/5/12,Test71,586.99
14,15/3/12,Test12,-114.00
15,15/3/9,Test13,-134.00
16,15/12/15,Test85,-712.00
17,15/5/27,Test68,-889.99
18,15/1/3,Test50,-602.99
19,15/12/16,Test100,-256.00
20,15/4/29,Test51,542.00
21,15/2/27,Test66,-773.00
22,15/1/17,Test62,-364.00
23,15/8/16,Test41,-55.99
24,15/4/6,Test17,-788.00
25,15/6/26,Test67,373.00
26,15/7/4,Test14,469.00
27,15/9/14,Test85,-617.00
28,15/2/10,Test19,-483.00
29,15/3/21,Test67,2.00
30,15/6/5,Test60,-807.00
31,15/12/24,Test16,-909.00
32,15/11/29,Test17,-133.00
33,15/8/14,Test46,-994.00
34,15/7/23,Test28,-949.00
35,15/9/25,Test13,17.00
36,15/9/31,Test79,461.00
37,15/1/5,Test8,377.00
38,15/7/24,Test84,440.00
39,15/10/26,Test59,-671.99
40,15/1/30,Test15,-532.00
41,15/5/10,Test46,-59.00
42,15/4/24,Test19,-788.00
43,15/11/31,Test72,-399.00
44,15/9/19,Test38,294.00
45,15/1/7,Test43,516.00
46,15/12/24,Test90,-13.00
47,15/5/15,Test78,924.00
48,15/8/5,Test61,459.00
49,15/5/2,Test5,-47.00
50,15/12/26,Test8,-856.00
51,15/6/31,Test21,-251.00
52,15/9/11,Test81,576.00
53,15/6/16,Test98,-896.00
54,15/8/13,Test60,803.00
55,15/1/19,Test26,-127.00
56,15/4/28,Test43,616.99
57,15/7/30,Test29,-647.00
58,15/2/29,Test69,501.00
59,15/7/27,Test26,-299.00
60,15/12/7,Test74,308.00
